Method,DataSize,ExecutionTime
memcpy,32,0.000419301
memcpy,64,0.000326197
memcpy,128,0.000286249
memcpy,256,0.000348755
memcpy,512,0.000324135
memcpy,1024,0.000344416
memcpy,2048,0.000237334
memcpy,4096,0.000375666
memcpy,8192,0.000392005
memcpy,16384,0.000257115
memcpy,32768,0.000279767
memcpy,65536,0.00034702
memcpy,131072,0.000246558
memcpy,262144,0.000298047
memcpy,524288,0.000245994
memcpy,1048576,0.000391834
memcpy,2097152,0.000328001
memcpy,4194304,0.000216707
memcpy,8388608,0.000377799
memcpy,16777216,0.000342852
memcpy,33554432,0.000322806
memcpy,67108864,0.000255785
memcpy,134217728,0.000237988
memcpy,268435456,0.000334344
memcpy,536870912,0.000452792
memcpy,1073741824,0.000211854
memcpy,2147483648,0.000332279
pinned,32,0.000202902
pinned,64,0.000437587
pinned,128,0.000280377
pinned,256,0.000246392
pinned,512,0.00026063
pinned,1024,0.000249173
pinned,2048,0.000243253
pinned,4096,0.000230219
pinned,8192,0.00023895
pinned,16384,0.000258064
pinned,32768,0.000218006
pinned,65536,0.000189521
pinned,131072,0.000286723
pinned,262144,0.000220346
pinned,524288,0.000371888
pinned,1048576,0.000576294
pinned,2097152,0.000260391
pinned,4194304,0.000230741
pinned,8388608,0.000237726
pinned,16777216,0.000220898
pinned,33554432,0.000265878
pinned,67108864,0.000248283
pinned,134217728,0.000262176
pinned,268435456,0.000447479
pinned,536870912,0.000242516
pinned,1073741824,0.000249679
pinned,2147483648,0.000454598
uvm,32,0.000384927
uvm,64,0.000452925
uvm,128,0.000379794
uvm,256,0.000411332
uvm,512,0.000423761
uvm,1024,0.000492078
uvm,2048,0.000381835
uvm,4096,0.000432581
uvm,8192,0.0004382
uvm,16384,0.000344237
uvm,32768,0.000342223
uvm,65536,0.000498231
uvm,131072,0.000441166
uvm,262144,0.000424318
uvm,524288,0.000557888
uvm,1048576,0.000419582
uvm,2097152,0.000324648
uvm,4194304,0.000442194
uvm,8388608,0.000372733
uvm,16777216,0.000406516
uvm,33554432,0.000432624
uvm,67108864,0.000433274
uvm,134217728,0.000463124
uvm,268435456,0.000415459
uvm,536870912,0.000342357
uvm,1073741824,0.000468411
uvm,2147483648,0.000397584
